Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
415;Julius Randle;PF;29;NYK;46;46;35.4;8.6;18.2;0.472;1.7;5.3;0.311;6.9;12.9;0.539;0.518;5.1;6.6;0.781;2.2;7;9.2;5;0.5;0.3;3.5;2.7;24
416;Duop Reath;C;27;POR;52;16;17.8;3.4;7.2;0.47;1.3;3.6;0.376;2;3.6;0.565;0.565;1;1.4;0.707;1.5;2.2;3.7;1;0.5;0.6;0.8;2.5;9.1
417;Austin Reaves;SG;25;LAL;67;42;31.7;5.6;11.3;0.497;1.9;4.9;0.385;3.7;6.4;0.583;0.58;2.8;3.3;0.858;0.6;3.5;4.1;5.5;0.9;0.2;2.1;1.8;16
418;Cam Reddish;SF;24;LAL;40;26;22.2;2.2;5.4;0.406;0.9;2.6;0.343;1.3;2.9;0.461;0.486;0.9;1.2;0.771;0.6;1.7;2.3;1.2;1.1;0.3;0.8;1.5;6.2
419;Paul Reed;C;24;PHI;66;23;19;3.1;5.7;0.545;0.3;0.7;0.404;2.8;5;0.565;0.57;0.6;0.9;0.719;2.3;3.5;5.8;1.3;0.7;1;0.7;2.5;7.2
420;Naz Reid;C;24;MIN;66;1;23.5;4.7;9.8;0.483;2;4.7;0.415;2.8;5.1;0.546;0.583;1.3;1.7;0.757;1;3.9;4.9;1.2;0.7;0.9;1.2;2.1;12.7
421;Jared Rhoden;SG;24;DET;6;0;7;1;1.8;0.545;0.2;0.7;0.25;0.8;1.2;0.714;0.591;0.3;0.3;1;0.2;0.7;0.8;0.7;0;0.3;0.5;0.7;2.5
422;Nick Richards;C;26;CHO;57;44;26.5;3.9;5.7;0.684;0;0;0;3.9;5.6;0.686;0.684;2;2.8;0.72;2.7;5.5;8.2;0.8;0.4;1.2;1.1;2.7;9.8
423;Josh Richardson;SG;30;MIA;43;6;25.7;3.6;8.1;0.444;1.5;4.4;0.347;2;3.7;0.561;0.539;1.2;1.3;0.944;0.4;2.4;2.8;2.4;0.6;0.3;0.8;1.8;9.9
424;Duncan Robinson;SF;29;MIA;61;29;28.5;4.7;10.3;0.455;2.9;7.1;0.401;1.8;3.2;0.575;0.593;1.2;1.4;0.892;0.2;2.3;2.5;3;0.7;0.2;1.4;2.3;13.4
425;Jerome Robinson;SG;26;GSW;17;0;3.8;0.5;1.5;0.32;0.1;0.8;0.143;0.4;0.6;0.545;0.36;0.4;0.6;0.6;0.1;0.2;0.3;0.3;0;0.2;0.1;0.2;1.4
426;Mitchell Robinson;C;25;NYK;21;21;29.2;2.8;4.7;0.592;0;0;0;2.8;4.7;0.592;0.592;0.7;1.8;0.368;5.3;5;10.3;0.7;1.5;1.3;1;1.9;6.2
427;Orlando Robinson;C;23;MIA;28;7;9.9;1.2;2.4;0.493;0.3;0.5;0.5;0.9;1.9;0.491;0.545;0.6;0.9;0.75;0.9;2;2.8;1;0.3;0.3;0.6;1.3;3.3
428;Jeremiah Robinson-Earl;PF;23;NOP;28;1;9.5;1.3;2.5;0.493;0.4;1.1;0.4;0.8;1.5;0.561;0.577;0.4;0.5;0.8;0.6;1.5;2.1;0.5;0.3;0.1;0.4;0.6;3.4
429;David Roddy;PF;22;TOT;58;13;19.9;2.8;6.9;0.404;0.8;2.8;0.294;2;4.1;0.479;0.464;0.8;1.2;0.691;0.9;2.6;3.5;1.3;0.4;0.2;1;1.2;7.2
429;David Roddy;PF;22;MEM;48;13;23.2;3.2;8;0.402;1;3.3;0.301;2.3;4.8;0.47;0.462;1;1.4;0.687;1.1;3.1;4.2;1.6;0.5;0.2;1.1;1.4;8.4
429;David Roddy;PF;22;PHO;10;0;4.1;0.7;1.5;0.467;0.1;0.7;0.143;0.6;0.8;0.75;0.5;0.1;0.1;1;0.1;0.4;0.5;0;0;0;0.3;0.2;1.6
430;Ryan Rollins;PG;21;WAS;10;0;6.6;1.3;2.5;0.52;0.2;0.3;0.667;1.1;2.2;0.5;0.56;1.3;1.7;0.765;0.2;0.9;1.1;1.1;0.8;0.3;0.7;0.7;4.1
431;Derrick Rose;PG;35;MEM;24;7;16.6;3.2;6.9;0.461;0.6;1.7;0.366;2.5;5.2;0.492;0.506;1;1.1;0.889;0.3;1.6;1.9;3.3;0.3;0.1;1.3;0.9;8
432;Terry Rozier;SG-PG;29;TOT;49;48;34;7.3;16.5;0.444;2.2;6.6;0.334;5.1;9.9;0.517;0.511;3.2;3.7;0.862;0.6;3.5;4.1;6.1;1;0.3;1.9;1.8;20
432;Terry Rozier;SG;29;CHO;30;30;35.5;8.4;18.3;0.459;2.8;7.7;0.358;5.6;10.6;0.533;0.535;3.6;4.3;0.845;0.6;3.3;3.9;6.6;1.1;0.4;2.2;1.7;23.2
432;Terry Rozier;PG;29;MIA;19;18;31.7;5.6;13.6;0.411;1.3;4.8;0.275;4.3;8.8;0.485;0.459;2.5;2.7;0.904;0.7;3.7;4.5;5.4;0.9;0.3;1.4;1.8;14.9
433;Rayan Rupert;SG;19;POR;23;0;9.2;1;2.8;0.359;0.5;1.3;0.414;0.5;1.5;0.314;0.453;0.3;0.4;0.7;0.6;1;1.6;0.9;0.2;0;0.5;0.8;2.8
434;D'Angelo Russell;PG;27;LAL;62;55;32;6.5;14;0.468;2.8;6.6;0.422;3.7;7.3;0.51;0.569;2;2.5;0.797;0.4;2.5;3;6.2;0.8;0.5;2;2.1;17.8
435;Matt Ryan;SF;26;NOP;20;1;17.7;2.4;5.2;0.452;2;4.3;0.471;0.4;1;0.368;0.644;0.7;0.7;0.929;0.3;1.7;2;0.8;0.3;0.1;0.9;1.5;7.4
436;Domantas Sabonis;C;27;SAC;65;65;35.8;8.1;13.2;0.615;0.4;1.1;0.414;7.7;12.2;0.633;0.632;3.3;4.8;0.7;3.5;10.1;13.6;8.4;0.9;0.6;3.3;3.1;20.1
437;Luka Šamani?;PF;24;UTA;33;3;7.2;1.1;2.9;0.368;0.3;1.2;0.25;0.8;1.7;0.455;0.421;0.7;0.8;0.852;0.4;1.6;1.9;0.3;0.1;0.2;0.5;0.7;3.1
438;Jermaine Samuels;SF;25;HOU;11;0;4.8;0.7;1;0.727;0;0.2;0;0.7;0.8;0.889;0.727;0.2;0.2;1;0.2;0.8;1;0.2;0.1;0.1;0;0.4;1.6
439;Adama Sanogo;PF;21;CHI;3;0;3.7;1;1;1;0;0;0;1;1;1;1;0.7;1;0.667;0.7;1.3;2;0;0;0;0.3;0;2.7
440;Gui Santos;PF;21;GSW;17;0;8.6;1.1;2.3;0.487;0.4;1.1;0.389;0.7;1.2;0.571;0.577;0.8;0.9;0.933;0.9;1.7;2.6;0.6;0.2;0.1;0.4;1;3.5
441;Dario Šari?;C;29;GSW;61;9;17.6;2.9;6.2;0.465;1.2;3.2;0.376;1.7;3.1;0.556;0.56;1.2;1.5;0.854;1.2;3.4;4.5;2.3;0.5;0.1;1.2;1.8;8.2
442;Olivier Sarr;C;24;OKC;14;0;6.8;0.8;1.4;0.579;0.1;0.4;0.333;0.6;0.9;0.692;0.632;0.7;1.1;0.667;0.7;1.8;2.5;0.1;0;0.5;0.2;1.3;2.4
443;Marcus Sasser;PG;23;DET;57;0;16.5;2.8;6.2;0.448;1.2;2.9;0.393;1.6;3.3;0.497;0.541;0.6;0.8;0.86;0.1;1.5;1.6;3;0.6;0.1;1.1;1.5;7.4
