Rk,Player,Pos,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,allstar_selected
274,Furkan Korkmaz,SG,PHI,-0.1696720426695945,-0.4484309834734946,-0.8368198052855527,-1.0795345303713233,-0.8416764460041138,-0.8287870466596834,-0.2852852425313775,-0.5624661478384826,-0.7055756327682398,0.5525884579615256,-0.7912676853098015,-0.718275280271221,-0.4844130326030328,-0.1685677989850595,-0.4757047965352568,-0.4560582664693548,0.00979160354068621,-0.8920592511704605,-0.9462613077508691,-1.041572984160993,-0.7603810278317242,-0.7776896961290187,-0.7346356928185989,-0.6097148082356517,-1.500465866108413,-0.7783483622123328,0
275,Luke Kornet,C,BOS,0.29692607467179083,0.851054500893245,-0.8368198052855527,-0.8488629300263707,-0.718431783033123,-0.9297489908240303,1.8412649565301236,-1.1359985990018238,-1.1514722983352244,-0.6154604798703321,-0.38532523925913353,-0.5758987077255503,1.220761611427878,1.3397624546434406,-0.6052022133698546,-0.6689315339532105,0.4754687484021593,0.4468990790464099,-0.6075927520551729,-0.2740398615474466,-0.6568324239910726,-1.028842929330661,0.8273707704130568,-0.8518041501428458,-0.616308797105283,-0.7783483622123328,0
276,Vit Krejci,PG,ATL,-0.8695692186816725,-0.7733023545651795,-0.8368198052855527,-1.4779672946035145,-1.170328880593423,-1.1720576568184629,-0.5317095145256283,-0.9065856185364873,-0.9285239655517322,-0.5643583388401885,-1.0449817140914692,-1.0599790543808307,0.6785303438699317,-0.5550774264773629,-0.9289457554563488,-0.9350231183080298,-1.034454115239587,-0.8920592511704605,-1.1155955855987172,-1.126854442229165,-0.7603810278317242,-1.028842929330661,-0.994970103357208,-1.09389349205004,-1.37415771339368,-1.1586752083784289,0
277,Jonathan Kuminga,PF,GSW,-1.3361673360230577,0.7698366581203238,-0.25009346375851155,0.1052786895822976,0.22644396641114037,0.059678061986569435,0.5635094721154879,-0.21834667714047784,-0.25967896720125505,0.39928203487109415,0.37581684708586893,0.2498854130393404,0.42881857591561395,0.44419136655151803,-0.08721254603146365,0.129343219111248,-0.3194750645431835,0.1791074130030359,-0.15603467779424493,-0.06083621637701696,-0.08731510286748834,-0.024229996524091742,0.3067019493358384,0.3586425593931251,0.7730808827567782,0.11395693071581549,0
278,Kyle Kuzma,PF,WAS,0.29692607467179083,0.648009893960942,1.5100855608226116,1.594159019081538,1.910787693681349,2.1596865006049852,-0.13925604431256186,1.731663656814882,2.103573360303763,0.1291707179974772,1.5936441852378729,1.7021264530051825,0.022145125247154333,-0.13085954264434696,0.8192693718107203,0.9808362890466702,0.04742207989312852,0.045211579981348886,2.101755693510396,1.5595114869182483,0.844622331698377,-0.024229996524091742,0.3067019493358384,2.295357294650679,0.7730808827567782,1.7669159159761556,0
279,Anthony Lamb,SF,GSW,-0.1696720426695945,0.5667920511880208,-0.6901382199037923,-0.05199740156198837,-0.3897793484438141,-0.4047468811694265,0.07066092812698509,0.24047928379019498,0.18621769836572954,0.3773811172867468,-0.5882964622844676,-0.6897999657620868,0.871165136291834,0.5290349433181212,-0.4757047965352568,-0.4560582664693548,0.22146303302317422,0.045211579981348886,-0.04314515922901279,-0.018195487342930992,-0.2944123105487917,-0.27538322972573404,-0.2139668717413802,-0.24658079537486033,0.6467727300420458,-0.35413764918091806,0
280,Jock Landale,C,PHO,0.29692607467179083,0.851054500893245,-0.6901382199037923,-0.5867361114525608,-0.3076162397964868,-0.4451316588351651,0.5908899467815157,-0.791879128303819,-0.7055756327682398,-0.47675466850279913,-0.030125598964799185,-0.17724430459767196,0.649991856103724,0.2556500848479564,-0.21670996286606134,-0.18996668211453538,0.15090588986234488,1.116378244154845,-0.21247943707686098,0.2376488868615844,-0.5532838201504209,-1.028842929330661,0.04636753879722917,-0.24658079537486033,0.14154011918311424,-0.36876560480269105,0
281,Romeo Langford,SG,SAS,-0.6362701600109798,-0.20477745515473092,-0.0667414820313112,-0.0205421833331311,-0.2254531311491596,-0.22301538167360196,0.03415362857228169,-0.6771726380711508,-0.6163962996548429,-0.3891509981654097,0.02061720679153436,0.0790335259845353,0.0007412594224985219,-0.3194008243479096,-0.34620737970065907,-0.2964033158564631,-0.1125074446047513,0.5807949120680971,-0.7769270299030211,-0.3593213196156183,-0.4497352163097692,-0.024229996524091742,-0.2139668717413802,-0.4886701372820546,-0.11107618624635139,-0.3248817379373722,0
282,Jake LaRavia,PF,MEM,-1.1028682773523653,-0.5296488262464158,-0.8368198052855527,-0.8383778572834182,-0.9238395546514412,-0.8893642131582915,-0.677738712744444,-0.33305316737314616,-0.3488583003146521,0.1656722473047228,-0.9942389083351356,-1.0315037398716966,0.08635672272112177,-0.14971367081470321,-0.7994483386217511,-0.828586484566102,0.2732049380077824,-0.4903717521053993,-0.7769270299030211,-0.7430878809223916,-0.7603810278317242,-0.7776896961290187,-0.7346356928185989,-0.7307594791892488,-0.3636924916758173,-0.8953720071865162,0
283,Zach LaVine,SG,CHI,0.29692607467179083,1.17592587198493,1.9868007133133325,1.6885246737681094,2.198358573946994,2.2000712782707237,0.19843647656844876,1.8463701470475504,1.925214694076969,0.43578356417833974,1.8981010197758736,1.9014536545691214,0.1862414299028489,0.2462230207627783,2.1142435401566972,1.9919843095949836,0.6024716060916521,-0.4903717521053993,0.6906367114449954,0.40821180299792825,1.1034938413000062,0.7292297030808353,-0.4743012822799894,1.6901339398826933,0.5204645773273129,2.293522318359981,0
